sentence,translate,divided_sentence,divided_sentence_with_ruby,sentence_with_ruby,level
トムは策略家だ。,톰은 계략가다.,"[""トムは"", ""策略家だ""]","[""トムは"", ""<ruby>策略<rp>(</rp><rt>さくりゃく</rt><rp>)</rp></ruby><ruby>家<rp>(</rp><rt>か</rt><rp>)</rp></ruby>だ""]",トムは<ruby>策略<rp>(</rp><rt>さくりゃく</rt><rp>)</rp></ruby><ruby>家<rp>(</rp><rt>か</rt><rp>)</rp></ruby>だ。,etc
それだけでは、抜本的対策にはならない。,그것만으로는 근본적인 대책이 될 수 없다.,"[""それだけでは"", ""抜本的対策には"", ""ならない""]","[""それだけでは"", ""<ruby>抜本<rp>(</rp><rt>ばっぽん</rt><rp>)</rp></ruby><ruby>的<rp>(</rp><rt>てき</rt><rp>)</rp></ruby><ruby>対策<rp>(</rp><rt>たいさく</rt><rp>)</rp></ruby>には"", ""ならない""]",それだけでは、<ruby>抜本<rp>(</rp><rt>ばっぽん</rt><rp>)</rp></ruby><ruby>的<rp>(</rp><rt>てき</rt><rp>)</rp></ruby><ruby>対策<rp>(</rp><rt>たいさく</rt><rp>)</rp></ruby>にはならない。,N3
彼は新しい政策を決定していた。,그는 새로운 정책을 결정하고 있었다.,"[""彼は"", ""新しい"", ""政策を"", ""決定していた。""]","[""<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>は"", ""<ruby>新<rp>(</rp><rt>あたら</rt><rp>)</rp></ruby>しい"", ""<ruby>政策<rp>(</rp><rt>せいさく</rt><rp>)</rp></ruby>を"", ""<ruby>決定<rp>(</rp><rt>けってい</rt><rp>)</rp></ruby>していた。""]",<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>は<ruby>新<rp>(</rp><rt>あたら</rt><rp>)</rp></ruby>しい<ruby>政策<rp>(</rp><rt>せいさく</rt><rp>)</rp></ruby>を<ruby>決定<rp>(</rp><rt>けってい</rt><rp>)</rp></ruby>していた。,N1
注目すべき重要な点は、両方の政党がこの問題に対しては似たような解決策を提示したことである。,주목해야 할 중요한 점은 두 정당이 이 문제에 대해 비슷한 해결책을 제시했다는 점이다.,"[""注目すべき"", ""重要な点は"", ""両方の政党が"", ""この問題に対しては"", ""似たような"", ""解決策を"", ""提示したことである""]","[""<ruby>注目<rp>(</rp><rt>ちゅうもく</rt><rp>)</rp></ruby>すべき"", ""<ruby>重要<rp>(</rp><rt>じゅうよう</rt><rp>)</rp></ruby>な<ruby>点<rp>(</rp><rt>てん</rt><rp>)</rp></ruby>は"", ""<ruby>両方<rp>(</rp><rt>りょうほう</rt><rp>)</rp></ruby>の<ruby>政党<rp>(</rp><rt>せいとう</rt><rp>)</rp></ruby>が"", ""この<ruby>問題<rp>(</rp><rt>もんだい</rt><rp>)</rp></ruby>に<ruby>対<rp>(</rp><rt>たい</rt><rp>)</rp></ruby>しては"", ""<ruby>似<rp>(</rp><rt>に</rt><rp>)</rp></ruby>たような"", ""<ruby>解決<rp>(</rp><rt>かいけつ</rt><rp>)</rp></ruby><ruby>策<rp>(</rp><rt>さく</rt><rp>)</rp></ruby>を"", ""<ruby>提示<rp>(</rp><rt>ていじ</rt><rp>)</rp></ruby>したことである""]",<ruby>注目<rp>(</rp><rt>ちゅうもく</rt><rp>)</rp></ruby>すべき<ruby>重要<rp>(</rp><rt>じゅうよう</rt><rp>)</rp></ruby>な<ruby>点<rp>(</rp><rt>てん</rt><rp>)</rp></ruby>は、<ruby>両方<rp>(</rp><rt>りょうほう</rt><rp>)</rp></ruby>の<ruby>政党<rp>(</rp><rt>せいとう</rt><rp>)</rp></ruby>がこの<ruby>問題<rp>(</rp><rt>もんだい</rt><rp>)</rp></ruby>に<ruby>対<rp>(</rp><rt>たい</rt><rp>)</rp></ruby>しては<ruby>似<rp>(</rp><rt>に</rt><rp>)</rp></ruby>たような<ruby>解決<rp>(</rp><rt>かいけつ</rt><rp>)</rp></ruby><ruby>策<rp>(</rp><rt>さく</rt><rp>)</rp></ruby>を<ruby>提示<rp>(</rp><rt>ていじ</rt><rp>)</rp></ruby>したことである。,N1
支払条件もご提示下さい。,결제 조건도 제시해 주세요.,"[""支払条件"", ""も"", ""ご提示"", ""下さい""]","[""<ruby>支払<rp>(</rp><rt>しはらい</rt><rp>)</rp></ruby><ruby>条件<rp>(</rp><rt>じょうけん</rt><rp>)</rp></ruby>"", ""も"", ""ご<ruby>提示<rp>(</rp><rt>ていじ</rt><rp>)</rp></ruby>"", ""<ruby>下<rp>(</rp><rt>くだ</rt><rp>)</rp></ruby>さい""]",<ruby>支払<rp>(</rp><rt>しはらい</rt><rp>)</rp></ruby><ruby>条件<rp>(</rp><rt>じょうけん</rt><rp>)</rp></ruby>もご<ruby>提示<rp>(</rp><rt>ていじ</rt><rp>)</rp></ruby><ruby>下<rp>(</rp><rt>くだ</rt><rp>)</rp></ruby>さい。,N1
お得な価格でご提供します。,저렴한 가격으로 제공합니다.,"[""お得な"", ""価格で"", ""ご提供します。""]","[""お<ruby>得<rp>(</rp><rt>とく</rt><rp>)</rp></ruby>な"", ""<ruby>価格<rp>(</rp><rt>かかく</rt><rp>)</rp></ruby>で"", ""ご<ruby>提供<rp>(</rp><rt>ていきょう</rt><rp>)</rp></ruby>します。""]",お<ruby>得<rp>(</rp><rt>とく</rt><rp>)</rp></ruby>な<ruby>価格<rp>(</rp><rt>かかく</rt><rp>)</rp></ruby>でご<ruby>提供<rp>(</rp><rt>ていきょう</rt><rp>)</rp></ruby>します。,N1
提案です。,제안입니다.,"[""提案"", ""です。""]","[""<ruby>提案<rp>(</rp><rt>ていあん</rt><rp>)</rp></ruby>"", ""です。""]",<ruby>提案<rp>(</rp><rt>ていあん</rt><rp>)</rp></ruby>です。,N3
結婚が出産の前提条件になっている。,결혼이 출산의 전제 조건이 되고 있다.,"[""結婚が"", ""出産の"", ""前提条件に"", ""なっている。""]","[""<ruby>結婚<rp>(</rp><rt>けっこん</rt><rp>)</rp></ruby>が"", ""<ruby>出産<rp>(</rp><rt>しゅっさん</rt><rp>)</rp></ruby>の"", ""<ruby>前提<rp>(</rp><rt>ぜんてい</rt><rp>)</rp></ruby><ruby>条件<rp>(</rp><rt>じょうけん</rt><rp>)</rp></ruby>に"", ""なっている。""]",<ruby>結婚<rp>(</rp><rt>けっこん</rt><rp>)</rp></ruby>が<ruby>出産<rp>(</rp><rt>しゅっさん</rt><rp>)</rp></ruby>の<ruby>前提<rp>(</rp><rt>ぜんてい</rt><rp>)</rp></ruby><ruby>条件<rp>(</rp><rt>じょうけん</rt><rp>)</rp></ruby>になっている。,N1
彼は質問をするために挙手した。,그는 질문을 하기 위해 손을 들었다.,"[""彼は"", ""質問をするために"", ""挙手した。""]","[""<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>は"", ""<ruby>質問<rp>(</rp><rt>しつもん</rt><rp>)</rp></ruby>をするために"", ""<ruby>挙手<rp>(</rp><rt>きょしゅ</rt><rp>)</rp></ruby>した。""]",<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>は<ruby>質問<rp>(</rp><rt>しつもん</rt><rp>)</rp></ruby>をするために<ruby>挙手<rp>(</rp><rt>きょしゅ</rt><rp>)</rp></ruby>した。,etc
挙動不審の男を見つけた。,수상한 행동을 하는 남자를 발견했다.,"[""挙動不審"", ""の"", ""男"", ""を"", ""見つけた""]","[""<ruby>挙動<rp>(</rp><rt>きょどう</rt><rp>)</rp></ruby><ruby>不審<rp>(</rp><rt>ふしん</rt><rp>)</rp></ruby>"", ""の"", ""<ruby>男<rp>(</rp><rt>おとこ</rt><rp>)</rp></ruby>"", ""を"", ""<ruby>見<rp>(</rp><rt>み</rt><rp>)</rp></ruby>つけた""]",<ruby>挙動<rp>(</rp><rt>きょどう</rt><rp>)</rp></ruby><ruby>不審<rp>(</rp><rt>ふしん</rt><rp>)</rp></ruby>の<ruby>男<rp>(</rp><rt>おとこ</rt><rp>)</rp></ruby>を<ruby>見<rp>(</rp><rt>み</rt><rp>)</rp></ruby>つけた。,etc
選挙って行ったことない。,선거는 가본 적이 없다.,"[""選挙って"", ""行ったことない。""]","[""<ruby>選挙<rp>(</rp><rt>せんきょ</rt><rp>)</rp></ruby>って"", ""<ruby>行<rp>(</rp><rt>おこな</rt><rp>)</rp></ruby>ったことない。""]",<ruby>選挙<rp>(</rp><rt>せんきょ</rt><rp>)</rp></ruby>って<ruby>行<rp>(</rp><rt>おこな</rt><rp>)</rp></ruby>ったことない。,etc
彼は選挙で大勝した。,그는 선거에서 대승을 거두었다.,"[""彼は"", ""選挙で"", ""大勝した。""]","[""<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>は"", ""<ruby>選挙<rp>(</rp><rt>せんきょ</rt><rp>)</rp></ruby>で"", ""<ruby>大勝<rp>(</rp><rt>たいしょう</rt><rp>)</rp></ruby>した。""]",<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>は<ruby>選挙<rp>(</rp><rt>せんきょ</rt><rp>)</rp></ruby>で<ruby>大勝<rp>(</rp><rt>たいしょう</rt><rp>)</rp></ruby>した。,N3
ばかばかしい企画ね。,말도 안 되는 기획이네요.,"[""ばかばかしい"", ""企画"", ""ね""]","[""ばかばかしい"", ""<ruby>企画<rp>(</rp><rt>きかく</rt><rp>)</rp></ruby>"", ""ね""]",ばかばかしい<ruby>企画<rp>(</rp><rt>きかく</rt><rp>)</rp></ruby>ね。,N1
兄は大企業に就職した。,형은 대기업에 취직했다.,"[""兄は"", ""大企業に"", ""就職した。""]","[""<ruby>兄<rp>(</rp><rt>あに</rt><rp>)</rp></ruby>は"", ""<ruby>大<rp>(</rp><rt>だい</rt><rp>)</rp></ruby><ruby>企業<rp>(</rp><rt>きぎょう</rt><rp>)</rp></ruby>に"", ""<ruby>就職<rp>(</rp><rt>しゅうしょく</rt><rp>)</rp></ruby>した。""]",<ruby>兄<rp>(</rp><rt>あに</rt><rp>)</rp></ruby>は<ruby>大<rp>(</rp><rt>だい</rt><rp>)</rp></ruby><ruby>企業<rp>(</rp><rt>きぎょう</rt><rp>)</rp></ruby>に<ruby>就職<rp>(</rp><rt>しゅうしょく</rt><rp>)</rp></ruby>した。,N2
百合子は家具業界への進出を企図している。,유리코는 가구 산업으로의 진출을 계획하고 있다.,"[""百合子は"", ""家具業界への"", ""進出を"", ""企図している。""]","[""<ruby>百合子<rp>(</rp><rt>ゆりこ</rt><rp>)</rp></ruby>は"", ""<ruby>家具<rp>(</rp><rt>かぐ</rt><rp>)</rp></ruby><ruby>業界<rp>(</rp><rt>ぎょうかい</rt><rp>)</rp></ruby>への"", ""<ruby>進出<rp>(</rp><rt>しんしゅつ</rt><rp>)</rp></ruby>を"", ""<ruby>企図<rp>(</rp><rt>きと</rt><rp>)</rp></ruby>している。""]",<ruby>百合子<rp>(</rp><rt>ゆりこ</rt><rp>)</rp></ruby>は<ruby>家具<rp>(</rp><rt>かぐ</rt><rp>)</rp></ruby><ruby>業界<rp>(</rp><rt>ぎょうかい</rt><rp>)</rp></ruby>への<ruby>進出<rp>(</rp><rt>しんしゅつ</rt><rp>)</rp></ruby>を<ruby>企図<rp>(</rp><rt>きと</rt><rp>)</rp></ruby>している。,etc
父と私の葛藤に、彼は気付いていないようです。,아버지와 나의 갈등을 아버지는 모르는 것 같다.,"[""父と私の葛藤に"", ""彼は"", ""気付いていないようです""]","[""<ruby>父<rp>(</rp><rt>ちち</rt><rp>)</rp></ruby>と<ruby>私<rp>(</rp><rt>わたし</rt><rp>)</rp></ruby>の<ruby>葛藤<rp>(</rp><rt>かっとう</rt><rp>)</rp></ruby>に"", ""<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>は"", ""<ruby>気付<rp>(</rp><rt>きづ</rt><rp>)</rp></ruby>いていないようです""]",<ruby>父<rp>(</rp><rt>ちち</rt><rp>)</rp></ruby>と<ruby>私<rp>(</rp><rt>わたし</rt><rp>)</rp></ruby>の<ruby>葛藤<rp>(</rp><rt>かっとう</rt><rp>)</rp></ruby>に、<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>は<ruby>気付<rp>(</rp><rt>きづ</rt><rp>)</rp></ruby>いていないようです。,etc
藤棚を見に行きたいな。,등나무 선반을 보러 가고 싶다.,"[""藤棚を"", ""見に"", ""行きたい"", ""な。""]","[""<ruby>藤棚<rp>(</rp><rt>ふじだな</rt><rp>)</rp></ruby>を"", ""<ruby>見<rp>(</rp><rt>み</rt><rp>)</rp></ruby>に"", ""<ruby>行<rp>(</rp><rt>い</rt><rp>)</rp></ruby>きたい"", ""な。""]",<ruby>藤棚<rp>(</rp><rt>ふじだな</rt><rp>)</rp></ruby>を<ruby>見<rp>(</rp><rt>み</rt><rp>)</rp></ruby>に<ruby>行<rp>(</rp><rt>い</rt><rp>)</rp></ruby>きたいな。,etc
気温が低くて湿度が潤沢な気候があればといつも思います。,기온이 낮고 습도가 높은 기후가 있었으면 좋겠다는 생각을 항상 한다.,"[""気温が"", ""低くて"", ""湿度が"", ""潤沢な"", ""気候が"", ""あれば"", ""と"", ""いつも"", ""思います。""]","[""<ruby>気温<rp>(</rp><rt>きおん</rt><rp>)</rp></ruby>が"", ""<ruby>低<rp>(</rp><rt>ひく</rt><rp>)</rp></ruby>くて"", ""<ruby>湿度<rp>(</rp><rt>しつど</rt><rp>)</rp></ruby>が"", ""<ruby>潤沢<rp>(</rp><rt>じゅんたく</rt><rp>)</rp></ruby>な"", ""<ruby>気候<rp>(</rp><rt>きこう</rt><rp>)</rp></ruby>が"", ""あれば"", ""と"", ""いつも"", ""<ruby>思<rp>(</rp><rt>おも</rt><rp>)</rp></ruby>います。""]",<ruby>気温<rp>(</rp><rt>きおん</rt><rp>)</rp></ruby>が<ruby>低<rp>(</rp><rt>ひく</rt><rp>)</rp></ruby>くて<ruby>湿度<rp>(</rp><rt>しつど</rt><rp>)</rp></ruby>が<ruby>潤沢<rp>(</rp><rt>じゅんたく</rt><rp>)</rp></ruby>な<ruby>気候<rp>(</rp><rt>きこう</rt><rp>)</rp></ruby>があればといつも<ruby>思<rp>(</rp><rt>おも</rt><rp>)</rp></ruby>います。,etc
光沢紙がいいな。,광택지가 좋네요.,"[""光沢紙が"", ""いいな。""]","[""<ruby>光沢<rp>(</rp><rt>こうたく</rt><rp>)</rp></ruby><ruby>紙<rp>(</rp><rt>し</rt><rp>)</rp></ruby>が"", ""いいな。""]",<ruby>光沢<rp>(</rp><rt>こうたく</rt><rp>)</rp></ruby><ruby>紙<rp>(</rp><rt>し</rt><rp>)</rp></ruby>がいいな。,N1
貧乏人の子沢山。,가난한 자식이 많다.,"[""貧乏人"", ""の"", ""子沢山""]","[""<ruby>貧乏人<rp>(</rp><rt>びんぼうにん</rt><rp>)</rp></ruby>"", ""の"", ""<ruby>子沢山<rp>(</rp><rt>こだくさん</rt><rp>)</rp></ruby>""]",<ruby>貧乏人<rp>(</rp><rt>びんぼうにん</rt><rp>)</rp></ruby>の<ruby>子沢山<rp>(</rp><rt>こだくさん</rt><rp>)</rp></ruby>。,N5
この辺りには野生の動物が沢山います。,이 주변에는 야생 동물들이 많이 있습니다.,"[""この辺りには"", ""野生の動物が"", ""沢山います。""]","[""この<ruby>辺<rp>(</rp><rt>あた</rt><rp>)</rp></ruby>りには"", ""<ruby>野生<rp>(</rp><rt>やせい</rt><rp>)</rp></ruby>の<ruby>動物<rp>(</rp><rt>どうぶつ</rt><rp>)</rp></ruby>が"", ""<ruby>沢山<rp>(</rp><rt>たくさん</rt><rp>)</rp></ruby>います。""]",この<ruby>辺<rp>(</rp><rt>あた</rt><rp>)</rp></ruby>りには<ruby>野生<rp>(</rp><rt>やせい</rt><rp>)</rp></ruby>の<ruby>動物<rp>(</rp><rt>どうぶつ</rt><rp>)</rp></ruby>が<ruby>沢山<rp>(</rp><rt>たくさん</rt><rp>)</rp></ruby>います。,etc
彼女は裁縫が上手です。,그녀는 바느질을 잘한다.,"[""彼女は"", ""裁縫が"", ""上手です。""]","[""<ruby>彼女<rp>(</rp><rt>かのじょ</rt><rp>)</rp></ruby>は"", ""<ruby>裁縫<rp>(</rp><rt>さいほう</rt><rp>)</rp></ruby>が"", ""<ruby>上手<rp>(</rp><rt>じょうず</rt><rp>)</rp></ruby>です。""]",<ruby>彼女<rp>(</rp><rt>かのじょ</rt><rp>)</rp></ruby>は<ruby>裁縫<rp>(</rp><rt>さいほう</rt><rp>)</rp></ruby>が<ruby>上手<rp>(</rp><rt>じょうず</rt><rp>)</rp></ruby>です。,N2
裁判所にいたの？,법원에 있었나요?,"[""裁判所に"", ""いたの？""]","[""<ruby>裁判所<rp>(</rp><rt>さいばんしょ</rt><rp>)</rp></ruby>に"", ""いたの？""]",<ruby>裁判所<rp>(</rp><rt>さいばんしょ</rt><rp>)</rp></ruby>にいたの？,N2
仲裁では普通６ヶ月に裁決を下す。,중재에서는 보통 6개월 안에 판결을 내린다.,"[""仲裁では"", ""普通"", ""６ヶ月に"", ""裁決を"", ""下す。""]","[""<ruby>仲裁<rp>(</rp><rt>ちゅうさい</rt><rp>)</rp></ruby>では"", ""<ruby>普通<rp>(</rp><rt>ふつう</rt><rp>)</rp></ruby>"", ""６<ruby>ヶ月<rp>(</rp><rt>かげつ</rt><rp>)</rp></ruby>に"", ""<ruby>裁決<rp>(</rp><rt>さいけつ</rt><rp>)</rp></ruby>を"", ""<ruby>下<rp>(</rp><rt>くだ</rt><rp>)</rp></ruby>す。""]",<ruby>仲裁<rp>(</rp><rt>ちゅうさい</rt><rp>)</rp></ruby>では<ruby>普通<rp>(</rp><rt>ふつう</rt><rp>)</rp></ruby>６<ruby>ヶ月<rp>(</rp><rt>かげつ</rt><rp>)</rp></ruby>に<ruby>裁決<rp>(</rp><rt>さいけつ</rt><rp>)</rp></ruby>を<ruby>下<rp>(</rp><rt>くだ</rt><rp>)</rp></ruby>す。,etc
それ、証明できるの？,그거 증명할 수 있나요?,"[""それ"", ""証明できる"", ""の?""]","[""それ"", ""<ruby>証明<rp>(</rp><rt>しょうめい</rt><rp>)</rp></ruby>できる"", ""の?""]",それ、<ruby>証明<rp>(</rp><rt>しょうめい</rt><rp>)</rp></ruby>できるの？,N3
論より証拠。,논증보다 증거.,"[""論より"", ""証拠。""]","[""<ruby>論<rp>(</rp><rt>ろん</rt><rp>)</rp></ruby>より"", ""<ruby>証拠<rp>(</rp><rt>しょうこ</rt><rp>)</rp></ruby>。""]",<ruby>論<rp>(</rp><rt>ろん</rt><rp>)</rp></ruby>より<ruby>証拠<rp>(</rp><rt>しょうこ</rt><rp>)</rp></ruby>。,N1
父が私の借金の保証人になった。,아버지가 내 빚의 보증인이 되었다.,"[""父が"", ""私の"", ""借金の"", ""保証人になった。""]","[""<ruby>父<rp>(</rp><rt>ちち</rt><rp>)</rp></ruby>が"", ""<ruby>私<rp>(</rp><rt>わたし</rt><rp>)</rp></ruby>の"", ""<ruby>借金<rp>(</rp><rt>しゃっきん</rt><rp>)</rp></ruby>の"", ""<ruby>保証<rp>(</rp><rt>ほしょう</rt><rp>)</rp></ruby><ruby>人<rp>(</rp><rt>じん</rt><rp>)</rp></ruby>になった。""]",<ruby>父<rp>(</rp><rt>ちち</rt><rp>)</rp></ruby>が<ruby>私<rp>(</rp><rt>わたし</rt><rp>)</rp></ruby>の<ruby>借金<rp>(</rp><rt>しゃっきん</rt><rp>)</rp></ruby>の<ruby>保証<rp>(</rp><rt>ほしょう</rt><rp>)</rp></ruby><ruby>人<rp>(</rp><rt>じん</rt><rp>)</rp></ruby>になった。,etc
